idx,borehole,project_id,GPS_N,GPS_E
1,ZK1-S4,T1,49.45661783021256,16.22915656330544
2,ZK1-10DL,T2,49.456592712735215,16.228938806377414
3,VRK-S7,T3, 49.45569868128067,16.230190736710053
4,BZ1-XII-55R,T4,49.455672731635055,16.22934843251756
5,BZ-III,T5,49.457600356149285,16.22873606446356
6,Z-V,T6,49.45746650054258,16.228148472008243
7,BV-IX,T7,49.45757759658163,16.228795547462805
8,Z3-XII,T8,49.464095596884235,16.220735108263575
9,L7-1,T9,49.464347949173764,16.22366257089494
10,L6-S22,X1,49.464522047679935,16.222465995770882
11,L7-87D,X2,49.464347949173764,16.22366257089494
12,L7-87L,X3,49.464365819209405,16.22365946540642
